allocator,mean_sec,median_sec,min_sec,max_sec,mbps,peak_rss_kb,scan_per_alloc,remove_per_free,real_per_req,freelist_len,malloc_cnt,calloc_cnt,realloc_cnt,free_cnt
default,0.8286692192,0.8198394706000001,0.808315211,0.8843556808,8.684000000000001,18955.2,,,,,0.0,0.0,0.0,0.0
mmap-arena,1.3938406832,1.3887860972000001,1.3752052014,1.4413936908,5.16,19793.6,41.39658700794165,52.42479724468363,1.1136826466518308,5532.0,14704430.0,231040.0,199930.0,14935490.0
