allocator,iters,warmup,files,bytes,nodes,errors,mean_sec,median_sec,min_sec,max_sec,mbps,peak_rss_kb,malloc_cnt,calloc_cnt,realloc_cnt,free_cnt,req_bytes,real_bytes,scan_steps,remove_steps,freelist_len,size_hist
mmap-arena,10,2,133,7193968,1883317,44,1.382189034,1.383959185,1.371690966,1.392014966,5.20,21112,14704430,231040,199930,14935490,1396585360,1555352880,626553903,782990035,5532,3:8630;4:5490;5:1330;6:14894610;7:24050;8:1350;10:10
mmap-arena,10,2,133,7193968,1883317,44,1.363839499,1.363090715,1.351328759,1.377741656,5.27,19020,14704430,231040,199930,14935490,1396585360,1555352880,626553903,782990035,5532,3:8630;4:5490;5:1330;6:14894610;7:24050;8:1350;10:10
mmap-arena,10,2,133,7193968,1883317,44,1.400525771,1.400750596,1.373790027,1.421634431,5.14,18872,14704430,231040,199930,14935490,1396585360,1555352880,626553903,782990035,5532,3:8630;4:5490;5:1330;6:14894610;7:24050;8:1350;10:10
mmap-arena,10,2,133,7193968,1883317,44,1.396100221,1.376987034,1.368065456,1.532942735,5.15,20616,14704430,231040,199930,14935490,1396585360,1555352880,626553903,782990035,5532,3:8630;4:5490;5:1330;6:14894610;7:24050;8:1350;10:10
mmap-arena,10,2,133,7193968,1883317,44,1.426548891,1.419142956,1.411150799,1.482634666,5.04,19348,14704430,231040,199930,14935490,1396585360,1555352880,626553903,782990035,5532,3:8630;4:5490;5:1330;6:14894610;7:24050;8:1350;10:10
