allocator,bytes,mean_sec_vs_default,median_sec_vs_default,min_sec_vs_default,max_sec_vs_default,mbps_vs_default,peak_rss_kb_vs_default
mmap-arena,1541808,1.3868873155734216,1.427003274173878,1.427035089369362,1.258502025002011,0.7180582524271844,1.0987071108901045
mmap-arena,2614208,1.3636817283579519,1.3487496027147947,1.360305276305607,1.3729665460591527,0.7334843337108342,1.1036292085701793
mmap-arena,4372607,1.6050106104803905,1.6115270188341422,1.608106606772542,1.5703097735004283,0.6233431516936672,1.085272694972464
mmap-arena,7193968,1.7012813714249053,1.7017483812107026,1.7060674345892135,1.6966480962039248,0.5880799698227084,1.0707092048735827
mmap-arena,8025655,1.8640433817565722,1.8601030581643136,1.8486854150678897,1.892000093438169,0.5367059718524153,1.199033362421964
