allocator,bytes,mean_sec,median_sec,min_sec,max_sec,mbps,peak_rss_kb,scan_per_alloc,remove_per_free,real_per_req,freelist_len
default,1541808,0.18042907333333333,0.174110179,0.17053569049999998,0.207886131,8.583333333333334,8044.0,,,,
default,2614208,0.296044354,0.295722691,0.2895059056666667,0.30764685433333333,8.83,9148.0,,,,
default,4372607,0.48282231133333336,0.480021008,0.476668678,0.5032169626666666,9.053333333333333,15010.666666666666,,,,
default,7193968,0.8139329313333333,0.8127789816666667,0.805478108,0.8284906336666666,8.836666666666666,18932.0,,,,
default,8025655,0.9157277883333333,0.9153782943333333,0.912891885,0.9190962056666666,8.763333333333334,19862.666666666668,,,,
mmap-arena,1541808,0.2502347931666667,0.2484557955,0.24336041433333333,0.26162511683333334,6.163333333333333,8838.0,32.11183433608507,43.101446979265425,1.113724413980365,2561.0
mmap-arena,2614208,0.40371027633333334,0.398855862,0.393816411,0.42238883899999996,6.476666666666667,10096.0,27.383581507238457,37.29881855447523,1.114229775280899,2450.0
mmap-arena,4372607,0.7749349326666666,0.773566824,0.7665340503333334,0.7902065146666667,5.6433333333333335,16290.666666666666,37.01779301185785,49.43359224244287,1.1139714081799144,5614.0
mmap-arena,7193968,1.3847289336666666,1.3831453163333334,1.3741999693333333,1.4056570563333333,5.196666666666666,20270.666666666668,41.39658700794165,52.42479724468364,1.1136826466518308,5532.0
mmap-arena,8025655,1.7069563233333334,1.7026979646666665,1.6876499133333331,1.7389301069999998,4.703333333333333,23816.0,47.929279471126996,58.87115314666227,1.1183309950628235,7932.0
